id,release_date,title,production_budget,domestic_gross,worldwide_gross,original_language,popularity,vote_average,vote_count,profit,roi
27,2003-02-28,Poolhall Junkies,4000000.0,563711.0,563711.0,en,10,4.9,170,-3436289.0,-0.85907225
27,2006-10-01,The Secret,3500000.0,0.0,0.0,en,10,4.9,170,-3500000.0,-1.0
27,2003-04-04,DysFunkTional Family,3000000.0,2255000.0,2255000.0,en,10,4.9,170,-745000.0,-0.24833333333333332
27,2003-10-03,Sur Le Seuil,2500000.0,2013052.0,2013052.0,en,10,4.9,170,-486948.0,-0.1947792
27,2008-12-25,Waltz with Bashir,2000000.0,2283849.0,13912289.0,en,10,4.9,170,11912289.0,5.9561445
27,2005-01-07,Travellers and Magicians,1800000.0,506793.0,1322161.0,en,10,4.9,170,-477839.0,-0.2654661111111111
27,2014-12-31,Kurmanjan datka,1400000.0,0.0,0.0,en,10,4.9,170,-1400000.0,-1.0
27,1970-01-01,Beyond the Valley of the Dolls,1000000.0,9000000.0,9000000.0,en,10,4.9,170,8000000.0,8.0
27,2007-06-01,And Then Came Love,989000.0,8158.0,8158.0,en,10,4.9,170,-980842.0,-0.9917512639029322
27,2014-09-12,Faith Connections,550000.0,9111.0,9111.0,en,10,4.9,170,-540889.0,-0.9834345454545455
27,1999-05-21,Trekkies,375000.0,617172.0,617172.0,en,10,4.9,170,242172.0,0.645792
27,2008-06-13,Baghead,200000.0,140016.0,140016.0,en,10,4.9,170,-59984.0,-0.29992
27,2013-10-25,A True Story,45000.0,0.0,0.0,en,10,4.9,170,-45000.0,-1.0
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,en,23,8.0,5837,19535492.0,0.09767746
62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,en,23,8.0,5837,487517365.0,3.2501157666666667
62,2014-11-21,The Hunger Games: Mockingjay - Part 1,125000000.0,337135885.0,766575131.0,en,23,8.0,5837,641575131.0,5.132601048
62,2018-12-21,Bumblebee,102000000.0,127195589.0,465195589.0,en,23,8.0,5837,363195589.0,3.560741068627451
62,2000-08-04,Hollow Man,90000000.0,73209340.0,191200000.0,en,23,8.0,5837,101200000.0,1.1244444444444444
62,2010-12-17,Yogi Bear,80000000.0,100246011.0,204774690.0,en,23,8.0,5837,124774690.0,1.559683625
62,2011-03-25,Sucker Punch,75000000.0,36392502.0,89758389.0,en,23,8.0,5837,14758389.0,0.19677852
62,2017-12-22,Downsizing,68000000.0,24449754.0,54462971.0,en,23,8.0,5837,-13537029.0,-0.19907395588235294
62,2002-04-19,The Scorpion King,60000000.0,90580000.0,165890634.0,en,23,8.0,5837,105890634.0,1.7648439
62,2005-09-16,Just Like Heaven,58000000.0,48318130.0,100687083.0,en,23,8.0,5837,42687083.0,0.7359841896551724
62,2001-11-02,Domestic Disturbance,53000000.0,45207112.0,54207112.0,en,23,8.0,5837,1207112.0,0.022775698113207548
62,2002-04-19,Murder by Numbers,50000000.0,31874869.0,56643267.0,en,23,8.0,5837,6643267.0,0.13286534
